;User 3;User 5
ubiquity;1,75;0
value;0;1,56
geogrSpread;1,75;-1,56
domainSpecificity;1,75;0
viruses;-1,75;-1,56
availabilityOnline;0;0
institutionalPolicies;-1,75;-1,56
specificationQuality;0;1,56
bfCompatibility;1,75;1,56
community3dSupport;0;-1,56
complexity;0;0
compression;-1,75;0
cost;0;0
developerSupport;1,75;-1,56
easeOfIdentification;0;1,56
easeOfValidation;0;1,56
errorTolerance;1,75;1,56
expertiseAvailable;0;0
legalRestrictions;1,75;-1,56
lifeTime;0;-1,56
metadataSupport;-1,75;0
renderingSoftwareAvailable;1,75;1,56
revisionRate;0;0
specificationAvailable;1,75;1,56
standardization;1,75;-1,56
storageSpace;-1,75;-1,56
technicalDependencies;1,75;-1,56
technicalProtectionMechanism;0;0
ubiquity;1,75;0
